q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q80201046_00: The Remaining Fountain                                                   | 遺りし噴水
q80201047_00: With the Goliath                                                         | 巨大機兵と共に
q80201048_00: Image of the Palace                                                      | 王宮の面影
q80201049_00: The Peacefully Sleeping Captive                                          | 安眠の虜
q80301000_00: Where the Resourceful Gather                                             | 知略集う場所
q80301001_00: The Ancient Empress Statue                                               | いにしえの女帝像
q80301002_00: The Grand Dancing Girl                                                   | 華麗なる舞姫
q80301003_00: The Magnificent Flower                                                   | 堂々たる名華
q80301004_00: View of the Melting Mountain                                             | 遠望の灼溶山
q80301005_00: Lovely Waterfall of the Hidden Village                                   | 隠れ村の麗滝
q80301006_00: Take a picture with your pawn at the specified location using Photo Mode | フォトモードを使い、指定の場所でポーンと写真を撮る
q80301050_00: Daily Cooking: Thines - Cooking Supply                                   | 【調理日課】ティネス　調理支給
q80301051_00: Daily Cooking: Rosguill - Cooking Trip                                   | 【調理日課】ロスギル　出張調理
q80301052_00: Daily Cooking: Piremoth - Babysitting Brats                              | 【調理日課】ピレモス　悪童保護
q80301060_00: Daily Council: Lookout Castle - Instructions for Duty                    | 【参謀日課】展望城　任務指示
q80301061_00: Daily Council: Mefite - Research Materials                               | 【参謀日課】メフィテ　素材研究
q80301062_00: Daily Council: Bandit Hideout - Collect Information                      | 【参謀日課】盗賊アジト　情報収集
q80301070_00: Daily Espionage: Royal Capital Megado - Follow Clues                     | 【諜報日課】王都メガド　追跡捜査
q80301071_00: Daily Espionage: Eli Guard Tower - Recover Materials                     | 【諜報日課】エリ警備塔　資材回収
q80301072_00: Daily Espionage: Megadosys Plateau - Rescue Friends                      | 【諜報日課】メガドシス高地　仲間救出
q90000100_00: Battle for Gritten Fort                                                  | グリッテン砦攻防戦
q90000101_00: Battle for Gritten Fort                                                  | グリッテン砦攻防戦
q90000102_00: Battle for Gritten Fort                                                  | グリッテン砦攻防戦
q90000103_00: Battle for Gritten Fort                                                  | グリッテン砦攻防戦
q90000104_00: Battle for Gritten Fort                                                  | グリッテン砦攻防戦
q90000111_00: Battle for Gritten Fort: Close Battle                                    | グリッテン砦攻防戦　戦況：接戦
q90000112_00: Battle for Gritten Fort: Close Battle                                    | グリッテン砦攻防戦　戦況：接戦
q90000113_00: Battle for Gritten Fort: Uphill Battle                                   | グリッテン砦攻防戦　戦況：苦戦
q90000114_00: Battle for Gritten Fort: Uphill Battle                                   | グリッテン砦攻防戦　戦況：苦戦
q90000115_00: Battle for Gritten Fort: Fierce Battle                                   | グリッテン砦攻防戦　戦況：激戦
q90000116_00: Battle for Gritten Fort: Fierce Battle                                   | グリッテン砦攻防戦　戦況：激戦
q90000117_00: Battle for Gritten Fort: Desperate Battle                                | グリッテン砦攻防戦　戦況：決死戦
q90000118_00: Battle for Gritten Fort: Mystery Battle                                  | グリッテン砦攻防戦　戦況：怪戦
