"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"Cockatrice Liquor",,,コカトリスの羊水,,
"Relaxedness LV.5",,,"快動 LV.5",,
"For NPC_wp311013",,,NPC用_wp311013,,
"Lance of Agitator",,,ランスオブアジテイター,,
"""Tattered Flotsam"" found.",,,「ボロボロの漂流物」を発見した,,
"This enemy is a rare one.",,,か、覚者さま、この敵は珍しいやつです,,
"Relaxedness LV.6",,,"快動 LV.6",,
"Cockatrice Poison Gland",,,コカトリスの毒腺,,
"Cockatrice Raven Pinion",,,コカトリスの烏羽根,,
"This enemy must be defeated!　
It is not something you will encounter often!",,,"この敵は討伐を！
なかなか遭う敵ではありません！",,
"Lance of Altura",,,ランスオブアルトゥーラ,,
"""The handwriting is from a page that has fallen out of a new diary.""",,,“筆跡が新しい日記のページが落ちている”,,
"For NPC_wp312000",,,NPC用_wp312000,,
"Relay Station District",,,宿場区,,
"Lance of Fedeltà",,,ランスオブフェデルタ,,
"Coconut-Scented Milkcap",,,ヤミイロタケ,,
"This enemy--unexpected.",,,この敵――予期せぬ事態ですね,,
"For NPC_wp312010",,,NPC用_wp312010,,
"For Weapon",,,武器用,,
"This feeling--a priceless treasure, no mistake on my reading
",,,"この感じは――貴重な宝、私の読みに
間違いはありません",,
"Relay the message to <NPC 530> in the Shopping District",,,"商店区にいる<NPC 530>に伝言を伝える",,
"Cocytus's Armor Shell",,,コキュートスの鎧殻,,
"""Undead Slayer"" added.",,,対敵特効【腐死】を付加する,,
"Lance of Guardian",,,ランスオブガーディアン,,
"""Unfamiliar Flotsam"" found.",,,「見た事も無い漂流物」を発見した,,
"This function is currently unavailable",,,この機能は現在使用できません,,
"Lance of Ice Age",,,ランスオブアイスエイジ,,
"Cofferer's Earrings",,,司金のイヤリング,,
"For White Day Set",,," ホワイトデーセット用",,
Release,,,解除,,
"Lance of Kapran",,,ランスオブカプラーン,,
"""War-Ready Slayer"" added.",,,対敵特効【戦甲】を付加する,,
"This guy can fix it!",,,こいつで治せる！,,
"Release ""Betland Plains"" Portcrystals",,,"《バートランド平原》各地にある未解放のリム転移 解放",,
"For a Child",,," あの子のために",,
Coif,,,コイフ,,
"For a Friend ",,," モノ好き仲間へ",,
"This guy is a rare adversary, Master!",,,こいつは稀有な敵です、マスター！,,
"Lance of Kenntnis",,,ランスオブケントニス,,
"""Water"".
There is danger in the waters of Lestania.
The Brine hides in the water and drags victims into the depths.

If that happens you will be returned to land.

However, if you fall into a deep pool or stream.
You may die.",,,"＜水辺＞
　レスタニアの水辺にはヒュージブルという
　魔物が潜み、深みに入ると引きずり込まれます

　その場合、最後にいた陸地に戻されます

　ただし、あまりに深い淵や谷川に落下した場合
　死亡状態になることもあります",,
"Release ""Breya Coast"" Portcrystals",,,"《ブリア海岸》各地にある未解放のリム転移 解放",,
"Coif of Crown",,,コイフオブクラウン,,
"For a Master ",,," 我が主のために――",,
"""Water"".
There is danger in the waters of Lestania.
The Brine hides in the water and drags victims into the depths.
If that happens you will be returned to land.
However, if you fall into a deep pool or stream.
You may die.",,,"＜水辺＞
　レスタニアの水辺にはヒュージブルという
　魔物が潜み、深みに入ると引きずり込まれます
　その場合、最後にいた陸地に戻されます
　ただし、あまりに深い淵や谷川に落下した場合
　死亡状態になることもあります",,
"Lance of Kraken",,,ランスオブクラーケン,,
"This guy is a rarity.
Thankfully, we can beat him up.",,,"こいつは珍しいヤツだ、
ありがたくぶちのめしましょうや",,
"Release ""Deenan Woods"" Portcrystals",,,"《ディナン深層林》各地にある未解放のリム転移 解放",,
"Coif of Warm Winds",,,熱風のコイフ,,
"Coiled Wear",,,コイルドウェア,,
"Release ""Dowe Valley"" Portcrystals",,,"《ダウ渓谷》各地にある未解放のリム転移 解放",,
"""White Calamity"" Elder Angules",,,“白い災厄”エルダーアングルス,,
"This guy is weak against fire!",,,こいつぁ炎に弱えぇ！,,
"For a Practice ",,," 修練の材具",,
"Lance of Legend",,,ランスオブレジェンド,,
"Coin Pouch",,,金貨袋,,
"This guy is weak against ice!",,,こいつぁ氷に弱えぇ！,,
"Lance of Strife",,,ランスオブストライフ,,
"""Winged Slayer"" added.",,,対敵特効【有翼】を付加する,,
"For a Priest, approaching the enemy is not very beneficial.
Their combat style is to always maintain a safe position at medium to long range,
and perform ally recovery and support through magic, as well as auxiliary attacks.",,,"プリーストにとって、敵への接近は
あまり有益ではありません
中～遠距離の安全な位置を常に確保して
魔法による味方の回復やサポート、
補助攻撃を行うという戦闘スタイルになります",,
"Release ""Eastern Zandora"" Portcrystals",,,"《ザンドラ東部》各地にある未解放のリム転移 解放",,
"""World Quests"" and their rewards can be checked at any
time by checking <COL ffdc78>""Lestania News"".</COL>

Also, each <COL ffdc78>""Area Master"" has ""World Quest information"".</COL>
You can get detailed information of what the enemy is or where it appears.

Also note that <COL ffdc78>""Public quests"" and ""Hidden Quests""</COL>
have different rewards and objectives.",,,"各地で起こっているワールドクエストとその報酬は
<COL ffdc78>《レスタニアニュース》</COL>でいつでも確認できます

また、各拠点の<COL ffdc78>《エリアマスター》が持つ
《ワールドクエスト情報》</COL>では、発生場所や討伐敵
などの詳細情報が得られます

もう一つのポイントは
<COL ffdc78>《公開クエスト》か《未公開クエスト》</COL>によって
報酬や遊び方が異なることです",,
"Coin with a finely detailed relief.",,,細密なレリーフの刻まれたコイン,,
"Release ""Hidell Plains"" Portcrystals",,,"《ハイデル平原》各地にある未解放のリム転移 解放",,
"This guy is weak against lightning!",,,こいつぁ雷に弱えぇ！,,
"Lance of Vanguard",,,ランスオブバンガード,,
"For a Safe Harvest ",,," 安全な採取のために",,
"This guy is weak to holy attacks!",,,こいつぁ聖に弱えぇ！,,
"""World Quests"" and their rewards can be checked at any
time by checking <COL ffdc78>""Lestania News"".</COL>
Also, each <COL ffdc78>""Area Master"" has ""World Quest information"".</COL>
You can get detailed information of what the enemy is or where it appears.
Also note that <COL ffdc78>""Public quests"" and ""Hidden Quests""</COL>
have different rewards and objectives.",,,"各地で起こっているワールドクエストとその報酬は
<COL ffdc78>《レスタニアニュース》</COL>でいつでも確認できます
また、各拠点の<COL ffdc78>《エリアマスター》が持つ
《ワールドクエスト情報》</COL>では、発生場所や討伐敵
などの詳細情報が得られます
もう一つのポイントは
<COL ffdc78>《公開クエスト》か《未公開クエスト》</COL>によって
報酬や遊び方が異なることです",,
Colette,,,コレット,,
"For a Shield Sage, the Greatshield is not for protecting themselves, but for protecting their comrades and gaining opportunities for allies to attack.
When facing multiple enemies or when comrades are targeted by the enemy, take the initiative to step forward and use the Attract skill to steal the enemy's attention.
When using the Attract skill, the stronger the enemy's focus, the more prominently the ""Attention Icon"" will be displayed.",,,"シールドセージにとって大盾は
自身の身を守るものではなく、仲間を守り
味方の攻撃チャンスを得るための武器です
敵の数が多い時や、仲間が敵に狙われた時には
率先して踏み込み、挑発スキル《アトラクト》で
敵の注目を奪いましょう
挑発スキルを使用すると、敵からの注目度が高いほど
《注目度アイコン》が強く表示されます",,
"Lance of Vermilion",,,ランスオブヴァーミリオン,,
"Release ""Mergoda Ruins"" Portcrystals",,,"《亡都メルゴダ》各地にある未解放のリム転移 解放",,
"For a period of time, when an attack is blocked,
a shockwave will be emitted.
<COL ffdc78>LV UP: Increases duration of the effect.
LV.6: Increases damage.</COL>",,,"大盾に一定時間、敵の攻撃を防いだ瞬間に
衝撃波を放つ効果を付与する
<COL ffdc78>LV UP毎に効果持続時間延長
LV.６で攻撃威力の上昇</COL>",,
"Land Kankar",,,ランドカンカー,,
"This is a base for the Demon Army that monitors the entire marshy area that stretches in front of the observatory castle. Because the area being monitored is wide, nightmares are used by the Demon Army keep an eye on it from the sky. It is known that a large number of weapons are deployed in the area due to its proximity to the Lookout Castle, which is a key
point.",,,"展望城の目前に広がる湿地帯全域を監視
している魔軍拠点。監視対象としている範囲が
広いため、魔軍に使役されるナイトメアが空からも
目を光らせる。要衝である展望城に近いせいか
数多くの兵器が配備されていることがわかっている",,
"Collapsing Strength",,,倒力,,
"Release ""Mysree Forest"" Portcrystals",,,"《ミスリウ森林》各地にある未解放のリム転移 解放",,
"""and now""",,,『その代わりに――』,,
"For example, if formed into a weapon...it should be imbued with great power.",,,"例えば、それが武器だとしたら――
大きな力を持つはずだ",,
"Release ""Mysree Grove"" Portcrystals",,,"《ミスリウ森林深部》各地にある未解放のリム転移 解放",,
"Collapsing Strength LV.3",,,"倒力 LV.3",,
"This is a full-scale large-scale battle with the enemy's main force advancing. Aggressive and skilled vanguards have been deployed to the front lines and are coming to inflict fatal blows reliably. Quick and accurate decision-making will be essential. Do not let your guard down for even a moment.",,,"敵の主力部隊が進出してくる本格大規模戦闘だ
好戦的で戦技に長けた尖兵が前線に投入され
確実に致命傷を負わせにかかってきている
すばやく的確な決断が必須となるだろう
一瞬たりとも気を抜くな",,
"""build a stronghold to protect me.""",,,『堅き砦となり、わたしを守ってくれ』,,
"Land Walker",,,ランドウォーカー,,
"Release ""Northern Betland Plains"" Portcrystals",,,"《バートランド平原北部》各地にある未解放のリム転移 解放",,
"For free, you drew 1 lot.",,,無料で、ロットを1回まわしました,,
"""restored to the land.""",,,『理の内に押し戻さねば――』,,
"Collapsing Strength LV.4",,,"倒力 LV.4",,
"This is a high-difficulty large-scale battle that is difficult to conquer without being an expert. It is said that renowned warriors who have slaughtered numerous Arisen in the past will gather. Those with little combat experience will not survive even for a few minutes. Prepare yourself, as no one will come out unscathed anymore.",,,"熟練者でないと攻略が難しい高難度大規模戦闘だ
過去に何人もの覚者をほふった、いわくつきの
戦士らが集結するとみられる
戦闘経験の浅い者など数分と生き残れまい
もはや誰しも無傷では済まされないと覚悟しろ",,
"Landing Sword",,,ランディングソード,,
Lantern,,,ランタン,,
"""so you who have love for Lestania,""",,,『レスタニアを愛する者たちよ――』,,
"Release ""Volden Mines"" Portcrystals",,,"《ボルド鉱山》各地にある未解放のリム転移 解放",,
"This is a large-scale combat with the main force. The difficulty has increased due to the aggressive deployment of elite troops. Keep in mind that a momentary lapse of concentration can be fatal.",,,"主力部隊との大規模戦闘だ
好戦的な尖兵の投入により、難易度は増している
一瞬の気の緩みが致命傷になると心得よ",,
"For free, you drew <VAL> lots in succession.",,,無料で、ロットを<VAL>連続でまわしました,,
"Collapsing Strength LV.5",,,"倒力 LV.5",,
"This is a tough one...",,,さすがにこりゃ、きついな――,,
"For human enemies al230001_1_1",,,人敵用al230001_1_1,,
"""you shall protect me instead.""",,,『わたしを守ってくれ』,,
"Lantern Kindling",,,ランタン火種,,
"Release ""Zandora Wastelands"" Portcrystals",,,"《ザンドラ禁域》各地にある未解放のリム転移 解放",,
"Collapsing Strength LV.6",,,"倒力 LV.6",,
%,,,%,,
"For human enemies al230014_1_1",,,人敵用al230014_1_1,,
Lapis,,,ラピス,,
"Release a damaging Holy aura around yourself.
Can be activated even while in the air, and works with Field Shift.",,,"自身を中心に聖属性を帯びた攻撃魔法エリアを
広範囲に展開する
空中でも発動可能、フィールドシフトに対応",,
"Collect 10 bushes or thickets",,,茂み・草むらから10回採取,,
"This is a tough situation.",,,厳しい状況ですね,,
"Lapis Eye",,,ラピスアイ,,
"For human enemies_wp300008_4",,,人敵用_wp300008_4,,
"This is going to hurt!",,,これは痛いぞ！！,,
"Release a damaging Holy aura around yourself.
Can be activated even while in the air, and works with Field Shift.
<COL ffdc78>LV UP: Increases damage of the skill, and becomes
a larger radius form (Greater Holy Aura).</COL>",,,"自身を中心に聖属性を帯びた攻撃魔法エリアを
展開する
空中でも発動可能、フィールドシフトに対応
<COL ffdc78>LV UPで攻撃威力が上昇し、より広範囲に
エリア展開する＜セイントオーラエクス＞に進化</COL>",,
"Collect 30 bushes or thickets",,,茂み・草むらから30回採取,,
%Y/%m/%d,,,%Y/%m/%d,,
"Collect 100 bushes or thickets",,,茂み・草むらから100回採取,,
"Lapis Lazuli",,,ラピスラズリ,,
"Release a magical aura around yourself that recovers
the health of those within it.
Can be activated even while in the air, and works with Field Shift.",,,"自身を中心に体力回復効果のある
魔法エリアを広範囲に展開する
空中でも発動可能、フィールドシフトに対応",,
"This is it! No shortage of opponents!",,,これは！　相手にとって不足なし！,,
"%d to %d people",,,%d～%d人まで,,
"For human enemies_wp300041_28",,,人敵用_wp300041_28,,
"%s (%d/%d)",,,"%s (%d/%d)",,
"For human enemies_wp301009_2",,,人敵用_wp301009_2,,
"This is not good--we have to do something.",,,まずいわね――何とかしなくちゃ,,
"Collect 1000 bushes or thickets",,,茂み・草むらから1000回採取,,
"Release a magickal aura around yourself that increases
healing power for nearby allies.
Can be used with Field Shift.
<COL ffdc78>LV UP: Extends duration of effect after Field Shifting.
LV.6: Increases the range of effect.</COL>",,,"自身を中心に、生命治癒力を
一時的に上昇させる魔法エリアを展開する
フィールドシフトに対応
<COL ffdc78>LV UP毎に離脱後の効果持続時間延長
LV.６で展開エリアのサイズ拡張</COL>",,
Lara,,,ララ,,
"Release a magickal aura around yourself that recovers
the health of those within it. (Maximum recovery amount scales with healing power.)
Can be activated even while in the air, and works with Field Shift.
<COL ffdc78>LV UP: Increases healing power, and becomes a larger radius
form (Great Heal Aura).</COL>",,,"自身を中心に体力回復効果のある魔法エリアを
展開する（最大回復量は治癒上限値）
空中でも発動可能、フィールドシフトに対応
<COL ffdc78>LV UPで回復力が上昇し、より広範囲に
エリア展開する＜ヒールオーラエクス＞に進化</COL>",,
