最早、話すことなどない,There is nothing to say anymore.,
"覚者って――孤独よね
普通の人だった頃が懐かしい
――なんてね","Being Arisen -- it's lonely, isn't it? I miss the time when I was just a normal person. -- Just kidding!",
"覚者の気持ちは覚者にしかわからない
そう思っていたけど――
覚者同士でもわからないこと多いよね","The feelings of an Arisen can only be understood by another Arisen, or so I thought... But even among Arisen, there are many things we don't understand.",
"本当なら覚者は世界にひとりしか存在しない
そんな話を聞いたことがあるの
だったら――これからどうなるんだろうな","In reality, there should only be one Arisen in the world Have you ever heard such a story? If so... what will happen from now on?",
"隊長、見てこの腕と足の筋肉！
シュッとして、かっこいいと思わない？","Captain, look at these arm and leg muscles!
Don't you think they look so cool and shapely?",
"最近、やたらと声をかけられるんだけど――
わたしも結構名の売れた覚者になったってこと！？","Lately, I've been getting a lot of attention and being approached a lot. Does that mean I've become quite a renowned Arisen?!",
"例えば、ヴァネッサなんて
覚者としても女性としてもひとつの理想型でしょ？","For example, someone like Vanessa, isn't she an ideal type both as an Arisen and as a woman?",
だからわたしは、あえてそこは目指さないの,"So, I intentionally won't aim for that.",
覚者になったことを嘆く気持ちが前はあったけど――,"I used to feel regret about becoming an Arisen, but...",
"今は天職って感じ
ま、仕事じゃないけどね","It feels like my calling from heaven now. Well, it's not really a job though.",
あら、ごきげんよう,"Oh, good day.",
"こうして一気に神殿の中枢に食い込めるなんて
ジョゼフ様々！",I can't believe that we can be in the heart of the temple all at once like this. Thank you Joseph!,
精一杯頑張るから、隊長、ひいきしてよね？,"I'll do my best, captain, and you'll patronize me, right?",
"みんなセシリーセシリーって
どうかしちゃったみたい","Everyone seems to be obsessed with Cecily, Cecily.",
"まあ、気持ちはわかるけどね
わたしだって、なんとかしてあげたいもの","Well, I can understand their feelings. I also want to do something to help.",
"時には強く言わないとね
もうお客さんじゃなくて、仲間なんだから
ダメなものはダメ","Sometimes you have to say it strongly. You're not a customer anymore, you're a friend. What doesn't work doesn't work.",
あ、セシリーの話ね,"Ah, it's about Cecily.",
"エリオットの奴、張り切っちゃって
わたしだって負けないから
侵食魔討伐数勝負はわたしのもの！","Elliot is all fired up, but I won't lose either. The number of victories in defeating the corrupt is mine!",
"なんだかみんな落ち着いちゃってさ
いいのかな",It seems like everyone has calmed down. Is it okay?,
"黒騎士は難敵だよね――
闇雲に戦っても勝てないだろうなぁ","The Black Knight is a formidable opponent, huh? I don't think you can win by fighting blindly.",
"ロイグは、わたしたちが看病したり
治療のために奔走するのが不思議で
たまらないみたい",Loeg seems to find it fascinating and irresistible that we take care of him and go all out for his treatment.,
人の善意に馴れていないんだね,He's not accustomed to people's goodwill.,
"もうさ、わたしは戦うの専門でいいかも
腕を磨いて、口出ししないで
ひたすら戦うよ","Maybe I'll just specialize in fighting
and keep my skills sharp and stay out of the way
I'll just fight.",
"黒騎士が来た時、ロイグは勇敢だったよね
見直しちゃったな",Loeg was brave when the Black Knight came. It made me reassess him.,
"レオを信じる――
うん、わたしはあの人を信じる！
――って、自分に言い聞かせているところ","I believe in Leo-- Yeah, I believe in that guy! --I'm just saying to myself.",
隊長、なんだかさ、もう、やるしかないよね！,"Captain, I don't know, I'm just going to have to do it!",
"レオはやっぱりわたしたちのことを考えていて
くれたんだよね",Leo is still thinking about us. He protected us.,
"ううん、やっぱり違う
レオが守ったのは
レスタニア全体の未来だよね？","No, it's different after all. Leo protected the future of Lestania, right?",
"隊長、ほら、遠征？　調査？　散歩？
なんでもいいから、行こうよ","Captain, hey, expedition? Survey? Walk?
Anything is fine, let's go.",
