"21787","
","
"7958","糸系のクラフト用素材
屈強な魔物をも縛る強度を誇る紐","String Crafting Material:
A strong string that boasts the strength to bind even powerful enemies."
"7959","糸系のクラフト用素材
秘術で作られた絶対に切れぬ幻の紐","String Crafting Material:
A mythical rope crafted with secret techniques that is absolutely unbreakable."
"7960","糸系のクラフト用素材
カブトクモの糸。意外と丈夫","String Crafting Material:
String made from the silk of the Kabutomushi beetle. Surprisingly durable."
"7961","木材系のクラフト用素材
一般的な細めの木材","Wood Crafting Material: Common, thin lumber."
"7962","木材系のクラフト用素材
茶色でやや硬めの木材","Wood Crafting Material: Brown, slightly hard wood."
"7963","木材系のクラフト用素材
かなりの硬度を持つ実用的な木材","Wood Crafting Material: 
A practical wood with considerable hardness, used for crafting."
"7964","木材系のクラフト用素材
白く非常に硬質で折れにくい木材","Wood Crafting Material: A white, extremely hard and resistant wood."
"7965","木材系のクラフト用素材
赤い縞目とねばりのある木材","Wood Crafting Material:
Wood with a red grain pattern and a strong texture."
"7966","木材系のクラフト用素材
深い赤紫の木目が美しい高級木材","Wood Crafting Material: 
A high-quality lumber with a beautiful deep reddish-purple wood grain."
"7967","木材系のクラフト用素材
北部の頑丈な針葉樹の木材","Wood Crafting Material: Sturdy lumber from northern robust coniferous trees."
"7968","木材系のクラフト用素材
上質で密度の高いマツの木材","Wood Crafting Material: High-quality, dense lumber made from pine wood."
"7969","木材系のクラフト用素材
非常に大きく育った巨木の木材","Wood Crafting Material: 
Lumber from a very large, grown tree."
"7970","木材系のクラフト用素材
断面まで漆黒で硬質な希少木材","Wood Crafting Material.
Rare lumber with a jet-black, hard surface."
"7971","木材系のクラフト用素材
まだ脈打ちを感じるエントの枝。希少品","Wood Crafting Material: Ent Branch, a rare branch that still pulsates with life."
"7972","木材系のクラフト用素材
使いやすく加工された良質の木材","Wood Crafting Material: High-quality wood that has been easily processed."
"7974","草花系のクラフト用素材
成長途中の若いハーブ","Floral Crafting Material: Young Herbs in the midst of growth"
"7975","草花系のクラフト用素材
強い繊維と生命力があるハーブ","Floral Crafting Material: A vibrant herb with a strong vitality."
"7976","草花系のクラフト用素材
レスタニアでよく見られるハーブ","Floral Crafting Material: Common herbs often seen in Lestania."
"7977","草花系のクラフト用素材
細かい葉と効能を持つ黄色のハーブ","Floral Crafting Material: Yellow herb with delicate leaves and effects."
"7978","草花系のクラフト用素材
鮮やかな赤い葉と薬効をもつハーブ","Floral Crafting Material: Material with vibrant red leaves and medicinal properties."
"7979","草花系のクラフト用素材
青い花弁とわずかな魔力を持つ草花","Floral Crafting Material: Grass flowers with blue petals and a faint amount of magic power."
"7980","草花系のクラフト用素材
紫色の小さな花をつける薬用の草花","Floral Crafting Material:
Medicinal herbs that bear small purple flowers."
"7981","草花系のクラフト用素材
洞窟内など暗いところでのみ自生する","Floral Crafting Material: Grass and Flower-based crafting material that only grows in dark places such as caves."
"7982","草花系のクラフト用素材
小さな朱色の花をつける可憐な草花","Floral Crafting Material:
Delicate grass that bears small vermilion flowers."
"7983","草花系のクラフト用素材
勝利を称える葉として有名なハーブ","Floral Crafting Material: A famous herb known as the leaf that celebrates victory."
"7984","草花系のクラフト用素材
ディナン地方に自生している植物","Floral Crafting Material: Plants that grow naturally in the Deenan region."
"7985","草花系のクラフト用素材
フォレストゴブリンが体に巻く弦草","Floral Crafting Material: String Grass wrapped around the body of a Forest Goblin."
"7986","草花系のクラフト用素材
フォレストゴブリン（ＬＶ．40～）が付けた花","Floral Crafting Material: Flowers attached by Forest Goblins (LV. 40~)."
"7987","草花系のクラフト用素材
エントの葉。ときおりわずかに動く","Floral Crafting Material: Ent Leaf. Occasionally moves slightly."
"7989","草花系のクラフト用素材
小粒ながら栄養価の高い木の実","Floral Crafting Material: High-nutrient seeds from small yet nutritious nuts of a woody plant."
"7990","草花系のクラフト用素材
青い果汁と効能の詰まった小果実","Floral Crafting Material: Small fruits filled with blue juice and beneficial properties."
"7991","草花系のクラフト用素材
栄養豊富で薬効もある緑の種","Floral Crafting Material: Green seed, rich in nutrients and with medicinal properties."
"7992","草花系のクラフト用素材
エント（ＬＶ．30～）が実らせた種子","Floral Crafting Material: Seeds harvested by Ents (Lv. 30 and above)."
"7996","キノコ系のクラフト用素材
じめっとした暗い場所に育つ毒キノコ","Mushroom Crafting Material. 
Poisonous mushrooms that grow in damp, dark places."
"8000","キノコ系のクラフト用素材
トロールの体に生えた有毒な苔","Mushroom Crafting Material. 
Toxic moss that grows on the body of a Troll."
"8002","魔道書系のクラフト用素材
何も記載されていないスクロール","Grimoire Crafting Material.
Scroll with nothing written on it."
"8003","魔道書系のクラフト用素材
力の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of power."
"8004","魔道書系のクラフト用素材
護の印が付与されたスクロール","Grimoire Crafting Material:
Scroll with a Protective Seal."
"8005","魔道書系のクラフト用素材
魔力の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with Magick seals."
"8006","魔道書系のクラフト用素材
魔護の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of Demon Safeguard."
"8007","魔道書系のクラフト用素材
剛力の印が付与されたスクロール","Grimoire Crafting Material:
Scroll with the mark of Herculean Strength."
"8008","魔道書系のクラフト用素材
守護の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of magic protection."
"8009","魔道書系のクラフト用素材
魔道力の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of magical power."
"8010","魔道書系のクラフト用素材
魔加護の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of Divine Protection."
"8011","魔道書系のクラフト用素材
火の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of Fire."
"8012","魔道書系のクラフト用素材
氷の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of ice."
"8013","魔道書系のクラフト用素材
雷の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of Lightning."
"8014","魔道書系のクラフト用素材
聖の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of Holy."
"8015","魔道書系のクラフト用素材
闇の印が付与されたスクロール","Grimoire Crafting Material:
Scrolls imbued with the mark of Dark."
"8016","雑多なクラフト用素材
水辺でよくみられる貝殻","Miscellaneous Crafting Material:
Shells commonly found near water."
"8017","雑多なクラフト用素材
やや珍しい五段層が美しい巻き貝","Miscellaneous Crafting Material: Slightly rare spiral shell with beautiful five-layered patterns."
"8018","雑多なクラフト用素材
大きな波型の美しい二枚貝","Miscellaneous Crafting Material:
Beautiful shell with a large wave-like shape."
"8019","雑多なクラフト用素材
ホブゴブリンが持っていた短剣","Miscellaneous Crafting Material:
A dagger that the Hobgoblin was carrying."
"8020","雑多なクラフト用素材
上級オークが使う粗い意匠付き金具","Miscellaneous Crafting Material:
Rough Ornamented Fittings Used by High-level Orcs."
"8021","雑多なクラフト用素材
冥府の騎士が身に付けた紋章付き金具","Miscellaneous Crafting Material:
Gold fittings with a crest worn by the Knight of the Netherworld."
"8022","雑多なクラフト用素材
リビングアーマーの鎧留め具","Miscellaneous Crafting Material: Armor Fastener for Living Armor"
"8023","雑多なクラフト用素材
メルゴダの民が身に付ける指輪。希少品","Miscellaneous Crafting Material: Ring worn by the people of Mergoda. A rare item."
"8024","雑多なクラフト用素材
骨の剛剣士が纏持つ大剣の一部","Miscellaneous Crafting Material: A part of the greatsword wielded by the fortified swordsman of bone."
"8025","雑多なクラフト用素材
錬魔に刺さっていた欠けた金属杭","Miscellaneous Crafting Material: A chipped metal stake embedded in a spell."
"8026","雑多なクラフト用素材
不思議な意匠の施された金属杭","Miscellaneous Crafting Material: Metal stake with intricate design."
"8027","雑多なクラフト用素材
錬魔に刺さっていた制御用の金属杭","Miscellaneous Crafting Material:
A control metal stake that was embedded in a spell."
"8028","雑多なクラフト用素材
巨人族が纏う分厚い装甲具の金片","Miscellaneous Crafting Material: Gold shards from the thick armor worn by Giants."
"8029","雑多なクラフト用素材
巨人兵から剥離した汚れた板金","Miscellaneous Crafting Material: Dirty Sheet Metal Stripped from a Giant Soldier."
